Rank,Movie Title,Release Year,IMDb Rating,Movie Link
1,The Shawshank Redemption,1994,9.3,https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1
2,The Godfather,1972,9.2,https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2
3,The Dark Knight,2008,9.1,https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3
4,The Godfather Part II,1974,9,https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4
5,12 Angry Men,1957,9,https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5
6,The Lord of the Rings: The Return of the King,2003,9,https://www.imdb.com/title/tt0167260/?ref_=chttp_i_6
7,Schindler's List,1993,9,https://www.imdb.com/title/tt0108052/?ref_=chttp_i_7
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,https://www.imdb.com/title/tt0120737/?ref_=chttp_i_8
9,Pulp Fiction,1994,8.8,https://www.imdb.com/title/tt0110912/?ref_=chttp_i_9
10,"The Good, the Bad and the Ugly",1966,8.8,https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10
11,The Lord of the Rings: The Two Towers,2002,8.8,https://www.imdb.com/title/tt0167261/?ref_=chttp_i_11
12,Forrest Gump,1994,8.8,https://www.imdb.com/title/tt0109830/?ref_=chttp_i_12
13,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/?ref_=chttp_i_13
14,Inception,2010,8.8,https://www.imdb.com/title/tt1375666/?ref_=chttp_i_14
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/?ref_=chttp_i_15
16,The Matrix,1999,8.7,https://www.imdb.com/title/tt0133093/?ref_=chttp_i_16
17,Goodfellas,1990,8.7,https://www.imdb.com/title/tt0099685/?ref_=chttp_i_17
18,Interstellar,2014,8.7,https://www.imdb.com/title/tt0816692/?ref_=chttp_i_18
19,One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.com/title/tt0073486/?ref_=chttp_i_19
20,Se7en,1995,8.6,https://www.imdb.com/title/tt0114369/?ref_=chttp_i_20
21,It's a Wonderful Life,1946,8.6,https://www.imdb.com/title/tt0038650/?ref_=chttp_i_21
22,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/?ref_=chttp_i_22
23,Seven Samurai,1954,8.6,https://www.imdb.com/title/tt0047478/?ref_=chttp_i_23
24,Saving Private Ryan,1998,8.6,https://www.imdb.com/title/tt0120815/?ref_=chttp_i_24
25,The Green Mile,1999,8.6,https://www.imdb.com/title/tt0120689/?ref_=chttp_i_25
26,City of God,2002,8.6,https://www.imdb.com/title/tt0317248/?ref_=chttp_i_26
27,Life Is Beautiful,1997,8.6,https://www.imdb.com/title/tt0118799/?ref_=chttp_i_27
28,Terminator 2: Judgment Day,1991,8.6,https://www.imdb.com/title/tt0103064/?ref_=chttp_i_28
29,Star Wars: Episode IV - A New Hope,1977,8.6,https://www.imdb.com/title/tt0076759/?ref_=chttp_i_29
30,Back to the Future,1985,8.5,https://www.imdb.com/title/tt0088763/?ref_=chttp_i_30
31,Spirited Away,2001,8.6,https://www.imdb.com/title/tt0245429/?ref_=chttp_i_31
32,The Pianist,2002,8.5,https://www.imdb.com/title/tt0253474/?ref_=chttp_i_32
